"Phone_name","Phone_Review_tittle","Phone_Review_body","Phone_Review_rating"
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","Excelente!","Chegou muita antes do informado, gostei muito e indico. Somente o carregador que a entrada não cabe em nenhuma tomada, mas me adaptei com um T.","5.0 out of 5 stars"
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","Um smartphone top D+. Maravilhoso.","Um smartphone maravilhoso. Comprei pra minha esposa, de presente. Adoramos o celular. Bateria ótima, é um celular fininho e bonito, é muito legal pra fazer a migração dos dados, fotos e app do outro celular. Fiquei muito contente com o resultado da compra. Amazon, como sempre, foi super eficiente. Top.","5.0 out of 5 stars"
"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","Horrible product","Very disappointed with the overall performance from Samsung","1.0 out of 5 stars"
"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","Overall","Got the mobile on the launch date,
Battery must be appreciated
Camera is just average
Mobile performance is above average
90hz refresh rate? If u r buying the mobile for this feature then I'm afraid u may get disappointed, it's just normal.
The USB cable is too small in length
It's a good mobile in this budget, there are no returns for this, only replacement is available, hence choose wisely before buying","4.0 out of 5 stars"
"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","Camera quality is not like 48 megapixel","Camera quality is low","3.0 out of 5 stars"
"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","super awesome 👌","In this budget, it has exceeded all expectations .. I have primarily taken this phone for the battery and so far not disappointed","5.0 out of 5 stars"
"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","A big no from me","1. It doesn't work with 5.0GHz WiFi frequency. 2.4GHz is very old school.
2. Camera quality is pathetic (both front and back). Forget about 48MP, pictures are all blur, poorer than a 4MP one.
3. Amazon didn't allow to write a review until they sold most of the stock, something very fishy.
4. No return policy, you will have to live with the phone you didn't like. Now you decide.","1.0 out of 5 stars"
"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","Put your money somewhere else","Not worth buying....faulty software, poor display quality, single band wifi doesn't support 5ghz WIFI band. Gyro sensor missing and many more. DONT GO BY PAID REVIEWS IN YOU TUBE","1.0 out of 5 stars"
"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","Too much lagging and slow","I will never purchase Samsung phones. Phone is lagging too much and slow. Waste of hard earning money.","1.0 out of 5 stars"
"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","Worst samsung mobile ever","This is worst samsung mobile I have seen from samsung. It's sceen quality and colors are trash. Even a old 5000 rs phone can beat it's quality. Please never ever buy this product.","1.0 out of 5 stars"
"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","Updated version of Android 9..Eluga I7 Enterprise Edition","Okk I am writing a review after using one day ..
I gifted this mobile to my mother and she liked a lot ..
First of all I let you know this is an updated version of Eluga I7..as you can check on the pictures posted by me ..it's Eluga I7 Enterprise Edition..
And this is updated to Android 9.0 pie..
Whereas the Normal Version is only Android 7 version( which is available on Flipkart).
This mobile does not have tray SIM slot..rather you can open the back cover and easily insert both the SIM and Memory card..and has Non Hybrid Sim Slots..But point to note here is SIM 1 is Micro and SIM 2 Nano ..
Camera quality is gud not so gorgeous with 8MP for both Front and Back ..with Flash Led lights on both sides..you can't expect more in this price range .
The best thing is it's Battery Back up of 4000 MAH..
Videos run smooth you tube and all.
You can increase the Storage space .. accordingly.
Doesn't support quick charging so it takes time for charging but the battery backup is worth .
My Verdict would be if you are getting so many features fr a price of 6499 ..it's worth buying ..
A thumbs up from me.👍👍👍","4.0 out of 5 stars"
"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","Hang / slow process and F sensor unlock is not working. Face detection hangs the phone","Phone Hangs even during playing YouTube. Hangs even during using camera. Update worsen the situation.
Finger Touch unlock is not working after one month.","2.0 out of 5 stars"
"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","very nice","good","4.0 out of 5 stars"
"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","Substandard phone.","Had purchased an older model of Panasonic Eluga a couple of years ago for a family member. Still working well. Based on that experience I purchased this newer model i7, but it was such a big disappointment. Phone was excruciatingly slow, photos were grainy and many more issues. Didn't expect such low quality from a well known brand. Fortunately I was able to return it.","1.0 out of 5 stars"
"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","Hang and power off automatically","After using three days mobile getting hagged
And getting switch off automatically.
Charging was 80% while on call switched off automatically when power on it shows battery charging 20 %","1.0 out of 5 stars"
"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","VALUE FOR MONEY","Phone has a awesome look and very handy best for senior citizen. Ok i write this review after 1 days as they are lying at so many things
1.st the phone doesn't even support 32 gb of memory card and they have written 256 gb expandable
2. And it can support a 2 or 4 gb memory card but if u use them u can only keep them in 1st sim as the 2nd sim is nano sim and u can't be able to use jio sim if we use memory card
So there u will have only one thing to choose 4g or a memory card
So very disappointing
U should not lie to customer
Overall the device is good just it don't support memory is bad :-(:-(","3.0 out of 5 stars"
"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","Microphone is not working properly","I have purchased this mobile first time on 21 August then it was working fine but then i have gifted to someone else then i have purchased this for myself now i have got the product whose earphone it not working and what was disappointing more was its microphone its not working in whatsapp n duo's vedio calls. So i am returning this item.. but this is the first time Amazon disappointed me...n when i was opening its cover it has 2 seals i didn't get the logic behind this at that time but not i got to know that k why it has 2 seal in its box","1.0 out of 5 stars"
"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","Panasonic egula i7","I gifted this phone for my mom. This phone is suitable for senior people, if u r looking for gaming or multi-tasking, it's no use.
What I liked:
1. It's a complete package, you get charger, backcase, screen protector and earphones.
2. Android 9 with decent battery backup.
3. I got it for ₹6180 so worth money.
I disliked:
1. Phone is very laggy and apps crashes.
2. Touch screen works slow. Even while receiving calls, if u swipe up to answer, it won't respond.
3. Thanks to cheap quality earphones.
4. Overall I'm really frustrated by this phone, never gonna buy any panasonic brand from now.","2.0 out of 5 stars"
"Nokia 105 Single SIM (Black)","Very good","Nice product. Delivery service is too good.","5.0 out of 5 stars"
"Nokia 105 Single SIM (Black)","Lovely featured phone","This phone is for my dad, only for incoming and outgoing, it's a great deal. Lovely phone, good battery backup.","5.0 out of 5 stars"
"Nokia 105 Single SIM (Black)","Nokia 105 vs samsung 1200","Good phone. Great battery backup.
I was confused between samsung 1200 and nokia 105. Finally i selected this phone because..
1. Nokia 105 can be charged using any universal charger. Howver samsung 1200 charging input is different so you have to always carry samsung charger with samsung 1200.
2. No FM in samsung 1200
3. Its nokia. Nokia is great in basic phones.","5.0 out of 5 stars"
"Nokia 105 Single SIM (Black)","Awesome Nokia Gift","Product is super.","5.0 out of 5 stars"
"Nokia 105 Single SIM (Black)","It will gives you a Nokia brand feel externally(Nokia 105 - 2019 4th edition)","i purchased this one for 1105rs. on amazon very fast delivery
mobile look was awesome and battery also stand by 3 days on light use....
pros :
1)battery life was OK , 800mah which gives you 1 day for hard use,light use gives you 3 days.
2)Nokia ringtone
3)Design was pretty good
4)build Quality was awesome.
5)lock Screen pin option
6)sound Quality was good at good signal strength.
cons :
1)lost Nokia originality Feel Little Bit From HMD Global.
2)some Times calls was auto disconnected behalf some network issue , but its OK if you restart it will fine
3)Flash light will turned off if you are tried to lock your Screen.
5) 6 Games were built in . may that occupies more space in 4 Mb of this mobile.might be the network problem was because of this.
6)Sound quality lost if signal was low.
7)Lock Screen Changed . not like old Nokia.
8)Software was s30+ ,it wasn't gives you a look like old Nokia Symbian OS.its completely new.
9)Nokia connecting people animation missed in this mobile.
Finally you can buy if you are Nokia Lover . its gives you a Nokia brand feel externally .all built quality and ringtone was looks like old Nokia...
thank you...","3.0 out of 5 stars"
"Nokia 105 Single SIM (Black)","Don't hesitate if you want a simple & strong phone.","I'm using this phone instead of iPhone, not saying it's superior but to fight smartphone addiction. And it helps just the way I thought. I'm listening the FM radio whenever I feel bored or exhausted. A must buy phone for ambitious students, get rid of your smartphone and recharge your life. ❤️","5.0 out of 5 stars"
"Nokia 105 Single SIM (Black)","Mobile not working","Mobile phone does not support power botton.i want replace this product.this prodect not working.im requst to return this product but not any one come to pick up.bad service","1.0 out of 5 stars"
"Nokia 105 Single SIM (Black)","Not the Nokia I knew.","My grandparents have had a great experience with Nokia handsets. Good battery life, durable, good sound quality. That's all my grandma needed and it served the purpose. Of course these were purchased offline and at a time when smartphones were not dirt cheap.
Guess now Nokia doesn't make em as they used to or inferior/faulty devices are being sold online.
The day she received it, the call volume was low at her end but it was okay. But at the other end there was static. We tried different sims, different locations but still the same. Day 3 the call volume went down drastically and she couldn't hear a thing. She could hear if she tried really hard and pressed the phone against her ear.
Totally disgusted by the product as it has been a nightmare for my grandparents during these tough times to get this phone working and no other means to contact.
Being a prime member I assured them that the phone could be replaced if there were any problems but for some reason pick up wasn't available and they had to send the device back. I couldn't ask them to do that. It's harrasment and sending it through courier is next to impossible for those old souls.
Very very disappointed. Never expected this from Amazon. Cannot rely on the service when I really need them.","1.0 out of 5 stars"
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","Best Value for Money in this Range. Go for it without any doubt.","This is best thing you can get at this price from a reputed brand with Made in India tag. First time I ordered on the first day of online launch and am happy. I'm writing after few days of usage, but this should not be different as my experience with Samsung has been most consistent as compared to other mobile brands I've used earlier.
Good:
- Android 10! Beautiful looks! Finally I can delete SMS from notification now!!
- Display is excellent with Blue light filter.
- Performance is good. No heating or lagging. Real Racing worked fine.
- 6000 Mah battery is BIG
- 128 GB storage is pretty good. 512 GB card supported with dedicated external card slot.
- Both dedicated sim slots support LTE
- Fast charging and 15W charger top with phone. The phone came with 0% charge. Charged fast.
- Mobile speakers sound is good, but I prefer external speakers for better bass in music.
- Camera is really good. Macro performance is very good - look at skin in tatoo photo and dust perticles in deskphone photo!! (photos of M31 are from other phone). Both front and rear camera support FHD video 3840x2160. I may not require to carry my DSLR everyehere.
- Face unlock / figure-print sensor response is good
- Received next day by 11 AM !
Not So Good:
- Not that thin, but ok.
- Doesn't have Samsung Dex
- Started to Boot Screen!! Gave me a little shock but selected reboot option and then every thing was smooth. An Android Updated (other than many application updates which is normal in any case) appeared on within days of launch. But update was smooth. No issue at all.
- Feels delicate in hand but a Rs.49 cover was good enough. Wrongly ordered black while the set is blue. Just 49 so will reorder the blue one as well :)
- Called Samsung Store, but no information with them about availability date. Still no call from them.
Feedback
- Feels good in hand and in use. It is a powerhouse and you feel it.
- Will update after few days of use, but don't have any doubt as of now.
Go for it without any doubt.","5.0 out of 5 stars"
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","Samsung m31 all rounder best mobile.","Best camera, very good battery life, eat body material, average weight, best performance, best display.","5.0 out of 5 stars"
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","Poor camera","3rd class front camera. 32 MP front camera n looks like 2mp front camera. In very disappointed with this kind of front camera. Need refund.","1.0 out of 5 stars"
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","False ads, poor camera quality, inefficient battery management","Lets just begin with the obvious. This phone's quality doesn't meet the claims made.
Cons:
1. Camera Quality: Picture quality is just awful. Its worse than a 8MP camera. The pixelization is obvious and it is definitely not a 64MP camera. Do not believe the claims Samsung might make. The quad camera is of no use as the macro camera reminds me of the decade when VGA cameras were common.
2. Battery: Samsung may claim the battery will last for two days but it didnt last that long - no Netflix, Prime Video, heavy games being used. So that makes two of the biggest features useless.
3. Amazon's Policy: In case you don't like the phone, Amazon has made sure you are stuck with it. The switch from 10 day ""return"" policy to 10 day ""replacement"" policy is dowright wrong! Hold onto the shutters physical mobile stores - your days are not over yet. When you do request for replacement, there is an inspection of the phone at buyer's site - which I understand but the fact that replacement will occur almost on the 10th day from my purchase still keeps me at unease.
Pros:
1. Display: The screen quality is good and has adjustment options for warm light and cold light.
2. Performance: Streaming videos and playing heavy games was smooth for the first 4 days but then again Samsung is known for fast deterioration of performance, so I will keep my eyes and ears open.
3. Sound: Speaker quality is okay but not upto the mark. In a noisy place you fail to hear the crispness and the boom.","1.0 out of 5 stars"
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","Serious Issue","The phone was wrapped in dust. Although it was seal packed, still many dust were on screen and back side. It shows security concerns and Amazon, Samsung and seller must draw its attention. How dust can be reached in seal packed box? Now I'm lacking trust in Amazon,Samsung and seller. Either my phone was used or its components might have replaced, as in brand new phone,there exists no dusts because they are built in factory, but here shows how they are playing with the customer and their product.
Phone is nice, large battery backup of more than 2 days, 6.4 display is big, camera is perfect and 6GB ram is enough for daily usage. All things are good. No heating issue.
However my only concern is ""dust"" and how it came there if its brand new.
So I could give 5 star,but now 1 is enough.
Beware of Amazon,Samsung and seller.","1.0 out of 5 stars"
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","Inferior quality and built","I am using it from 3 days , 6000 mah battery is just for name only, it work for 1-1.25 days only with moderate usage.
64mp camera doesn't support zoom, camera doesn't support 60fps video recording.
Build quality is not good, plastic back with lots of figure prints in few minutes handling, not look new in few seconds.
Face unlock very slow.
Heat issue which charging and heavy usage
Full charge takes more than 3 hrs
Would not recommend to buy , if you are looking for good camera phone
go with other brands like oppo or redmi , giving much better quality","1.0 out of 5 stars"
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","Not good at alll","Software is no working. No sounds in media, cant attend calls, every 5 mints phone gone to switched off and even though no retraining option.","1.0 out of 5 stars"
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","Samsung it's not fair .","Phone camera is not good , samsung says it's 64 mega pixel but its photos like 8 megapixels .photo detailing are not good . Also processor is not Upton the mark it's some time slow and hang in multi function use . While using keyboard , keyboard hide automatically for 1 second . My mobile variant is 6 GB 128 GB. Don't waste your time and money .","2.0 out of 5 stars"
"Redmi 9A (Sea Blue 3GB RAM 32GB Storage)| 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","Don't buy this phone","Both 13 MP and 5MP Camera quality is good. Have lot of pre installed apps. But can be uninstalled if not required. Overall good performance . I am using Asus zenfone max and according to me far better than Asus except Camera quality. It comes in 5000 mah battery and one can't get a better option at this price range. Go for it. It's really good
After one week use
Edit:- please don't buy this phone. It hangs a lot and sometimes there is problem in touch screen.","1.0 out of 5 stars"
"Redmi 9A (Sea Blue 3GB RAM 32GB Storage)| 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","One of the good choice for low budget phone","If you are looking for low budget phone this can be a good choice for you.
If you wanna android phone just for day to day work then it's really good.
On playing heavy games it will hange obviously. Camera is fine at this range. When you start your new device it take some time but later it will work smoothly.
Phone is light weight with a good look","4.0 out of 5 stars"
"Redmi 9A (Sea Blue 3GB RAM 32GB Storage)| 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","Bad camera and made in China","Camera quality is not good. It is mentioned as 13mp but the motion of the camera is like 2mp. Phone is very slow in operation even though it is 3gb RAM . More over it is MADE IN CHINA.","1.0 out of 5 stars"
"Redmi 9A (Sea Blue 3GB RAM 32GB Storage)| 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","Simply excellent. Read complete review written after my 30 days of experience","Excellent mobile for daily use @7500/-. Don't belive in negative reviews at all. If course the product parts made in China, entire assembly, software all are of India. Even this mobile have no bloat ware or Chinese apps and it's 3gb variant is excellent and black colour looks great.
Camera is good at it's price range and has autofocus and AI potrait feature.
Regarding battery is really huge and with normal daily usage it lasts for about 24 hrs as of my experience. With heavy usage and gaming it lasts for 7-10 hrs.
Regarding gaming, since it has gaming processor helio G25 (equal to Snapdragon 625), and it's hyperdrive technology, no lag in gaming and better network connectivity makes games more aweful.
Overall product is excellent at it's price range.","5.0 out of 5 stars"
